_id,id,bbox,centroid,title,title_en,title_ne,type,code,district,district_en,municipal_en,cases_count
5e8c4ea33e4d8a5ecdb0b12d,6006,"[87.2045470401386, 26.4843096717737, 87.2957635242479, 26.6205538506463]","{'type': 'Point', 'coordinates': [87.2464965242467, 26.554563592502788]}",Duhabi,Duhabi,दुहवी,Municipality,duhabimun,6,Sunsari,Duhabi Municipality,
5e8c4ea33e4d8a5ecdb0b12e,26001,"[85.4000073129946, 27.6639255537192, 85.4489199612113, 27.6916034837955]","{'type': 'Point', 'coordinates': [85.42961727474352, 27.675017765984723]}",Bhaktapur,Bhaktapur,भक्तपुर,Municipality,bhaktapurmun,29,Bhaktapur,Bhaktapur Municipality,43.0
5e8c4ea33e4d8a5ecdb0b12f,49010,"[83.4637051955135, 27.4696329340372, 83.6146842593379, 27.5331330191761]","{'type': 'Point', 'coordinates': [83.54801534009631, 27.49621584825281]}",Rohini,Rohini,रोहिणी,Rural Municipality,rohinimun,37,Rupandehi,Rohini Rural Municipality,
5e8c4ea33e4d8a5ecdb0b130,49011,"[83.210831809134, 27.6452739987668, 83.3933400552, 27.7682177421593]","{'type': 'Point', 'coordinates': [83.30568662721225, 27.7119194960863]}",Sainamaina,Sainamaina,सैनामैना,Municipality,sainamainamun,37,Rupandehi,Sainamaina Municipality,1.0
5e8c4ea33e4d8a5ecdb0b131,49013,"[83.3917651872405, 27.4756012015743, 83.4933862563667, 27.5390155928273]","{'type': 'Point', 'coordinates': [83.44238140984191, 27.50134777330929]}",Siddharthanagar,Siddharthanagar,सिद्धार्थनगर,Municipality,siddharthanagarmun,37,Rupandehi,Siddharthanagar Municipality,
5e8c4ea33e4d8a5ecdb0b132,49014,"[83.3347366276424, 27.515760400277, 83.4623448522511, 27.6246734154178]","{'type': 'Point', 'coordinates': [83.39602388140969, 27.56693704359335]}",Siyari,Siyari,सियारी,Rural Municipality,siyarimun,37,Rupandehi,Siyari Rural Municipality,286.0
5e8c4ea33e4d8a5ecdb0b133,49015,"[83.3237333719507, 27.5687288085286, 83.4321368418947, 27.6599275122213]","{'type': 'Point', 'coordinates': [83.36876858941736, 27.62237619568379]}",Sudhdhodhan,Sudhdhodhan,सुद्धोधन,Rural Municipality,shuddhodhanmunrupandehi,37,Rupandehi,Sudhdhodhan Rural Municipality,22.0
5e8c4ea33e4d8a5ecdb0b134,49016,"[83.4138358761351, 27.5504211453281, 83.5519152327845, 27.6731494629589]","{'type': 'Point', 'coordinates': [83.48636973551233, 27.60837197610051]}",Tillotama,Tillotama,तिलोत्तमा,Municipality,tilottamamun,37,Rupandehi,Tillotama Municipality,1.0
5e8c4ea33e4d8a5ecdb0b135,53004,"[82.5216249931916, 28.2237603486258, 82.7254125309166, 28.4353659104371]","{'type': 'Point', 'coordinates': [82.62619035911098, 28.337235766238894]}",Rolpa,Rolpa,रोल्पा,Municipality,rolpamun,54,Rolpa,Rolpa Municipality,62.0
5e8c4ea33e4d8a5ecdb0b136,53005,"[82.3968232121585, 28.0927494955129, 82.6313592262156, 28.2618258075156]","{'type': 'Point', 'coordinates': [82.51992337019121, 28.187103338403606]}",Runtigadi,Runtigadi,रुन्टीगढी,Rural Municipality,runtigadhimun,54,Rolpa,Runtigadi Rural Municipality,
5e8c4ea33e4d8a5ecdb0b137,53008,"[82.6150198441813, 28.1776626143555, 82.799329149108, 28.3770321172185]","{'type': 'Point', 'coordinates': [82.70702144018422, 28.247416518198275]}",Suwarnabati,Suwarnabati,सुनिलस्मृति,Rural Municipality,suwarnawatimun,54,Rolpa,Suwarnabati Rural Municipality,
5e8c4ea33e4d8a5ecdb0b138,53009,"[82.6138903269769, 28.3923611836122, 82.869254847224, 28.5266094713674]","{'type': 'Point', 'coordinates': [82.74180048306881, 28.463725350094272]}",Thawang,Thawang,थबाङ,Rural Municipality,thabangmun,54,Rolpa,Thawang Rural Municipality,
5e8c4ea33e4d8a5ecdb0b139,6004,"[87.1081544636975, 26.4034144433289, 87.1890465915535, 26.518726793475]","{'type': 'Point', 'coordinates': [87.15065358595963, 26.452518566299865]}",Dewanganj,Dewanganj,देवानगञ्ज,Rural Municipality,dewanganjmun,6,Sunsari,Dewanganj Rural Municipality,
5e8c4ea33e4d8a5ecdb0b13a,16009,"[86.1310334614359, 26.8119413668769, 86.247041467058, 26.935361514285]","{'type': 'Point', 'coordinates': [86.17953757079016, 26.868246610892204]}",Karjanha,Karjanha,कर्जन्हा,Municipality,karjanhamun,15,Siraha,Karjanha Municipality,
5e8c4ea33e4d8a5ecdb0b13b,19001,"[85.4024111367677, 27.0077386851303, 85.5336140258811, 27.1546134058969]","{'type': 'Point', 'coordinates': [85.4772433946535, 27.0777370936382]}",Bagmati,Bagmati,बागमती,Municipality,bagmatimunsarlahi,19,Sarlahi,Bagmati Municipality,
5e8c4ea33e4d8a5ecdb0b13c,19003,"[85.3859700562103, 26.9247529386975, 85.5338564951537, 27.0395231694503]","{'type': 'Point', 'coordinates': [85.45380207593347, 26.98179614623015]}",Barahathawa,Barahathawa,बरहथवा,Municipality,barhathwamun,19,Sarlahi,Barahathawa Municipality,
5e8c4ea33e4d8a5ecdb0b13d,19005,"[85.4353069300825, 26.7813480153334, 85.5044853081719, 26.8584107945372]","{'type': 'Point', 'coordinates': [85.47269397659275, 26.815449212002406]}",Bishnu,Bishnu,विष्णु,Rural Municipality,bishnumun,19,Sarlahi,Bishnu Rural Municipality,
5e8c4ea33e4d8a5ecdb0b13e,19006,"[85.5732771585585, 26.8472496773036, 85.6596553187368, 26.930482649734]","{'type': 'Point', 'coordinates': [85.60990547152375, 26.89026772692814]}",Bramhapuri,Bramhapuri,ब्रह्मपुरी,Rural Municipality,brahmapurimun,19,Sarlahi,Bramhapuri Rural Municipality,1.0
5e8c4ea33e4d8a5ecdb0b13f,19008,"[85.5610593106803, 26.8952464653678, 85.640917003248, 26.9759157547228]","{'type': 'Point', 'coordinates': [85.60054713959347, 26.93754702452161]}",Chandranagar,Chandranagar,चन्द्रनगर,Rural Municipality,chandranagarmun,19,Sarlahi,Chandranagar Rural Municipality,32.0
5e8c4ea33e4d8a5ecdb0b140,19010,"[85.3959393084622, 26.7859724405477, 85.4841842451224, 26.9063494655874]","{'type': 'Point', 'coordinates': [85.4456702422499, 26.844414821921706]}",Godaita,Godaita,गोडैटा,Municipality,godaitamun,19,Sarlahi,Godaita Municipality,
5e8c4ea33e4d8a5ecdb0b141,19013,"[85.5147359685, 27.037116709873, 85.6468343104505, 27.1488594916154]","{'type': 'Point', 'coordinates': [85.57424481640062, 27.100641500116613]}",Hariwan,Hariwan,हरिपुर्वा,Municipality,haripurwamun,19,Sarlahi,Hariwan Municipality,
5e8c4ea33e4d8a5ecdb0b142,19014,"[85.5864003624299, 26.9192270917059, 85.815862124065, 27.1621081827283]","{'type': 'Point', 'coordinates': [85.6939443609147, 27.00935086989303]}",Ishworpur,Ishworpur,ईश्वरपुर,Municipality,ishworpurmun,19,Sarlahi,Ishworpur Municipality,90.0
5e8c4ea33e4d8a5ecdb0b143,19015,"[85.4990325858612, 26.8903266043584, 85.5787069062493, 26.9900997419383]","{'type': 'Point', 'coordinates': [85.53686748258716, 26.941122897057863]}",Kabilasi,Kabilasi,कविलासी,Municipality,kawilasimun,19,Sarlahi,Kabilasi Municipality,23.0
5e8c4ea33e4d8a5ecdb0b144,19016,"[85.4733139281855, 26.8135281124908, 85.5418978461292, 26.8874098604134]","{'type': 'Point', 'coordinates': [85.50729032309769, 26.85878883022808]}",Kaudena,Kaudena,कौडेना,Rural Municipality,kaudenamun,19,Sarlahi,Kaudena Rural Municipality,
5e8c4ea33e4d8a5ecdb0b145,19017,"[85.5635978753905, 27.0026270416424, 85.8121982463825, 27.1952429034541]","{'type': 'Point', 'coordinates': [85.68904014419991, 27.10290856225777]}",Lalbandi,Lalbandi,लालबन्दी,Municipality,lalbandimun,19,Sarlahi,Lalbandi Municipality,1.0
5e8c4ea33e4d8a5ecdb0b146,20002,"[85.6837716226133, 27.2787887146433, 85.9051625807959, 27.4120378963585]","{'type': 'Point', 'coordinates': [85.78627721774886, 27.343391643593908]}",Ghanglekh,Ghanglekh,घ्याङलेख,Rural Municipality,ghyanglekhmun,20,Sindhuli,Ghanglekh Rural Municipality,
5e8c4ea33e4d8a5ecdb0b147,1002,"[87.4444437654354, 27.2911162113461, 87.6061168926153, 27.4807625603016]","{'type': 'Point', 'coordinates': [87.51328914944986, 27.37365024617376]}",Maiwakhola,Maiwakhola,मैवाखोला,Rural Municipality,maiwakholamun,1,Taplejung,Maiwakhola Rural Municipality,
5e8c4ea33e4d8a5ecdb0b148,6009,"[87.1090523277655, 26.5380486097706, 87.2350858407707, 26.66194624626]","{'type': 'Point', 'coordinates': [87.16242541190489, 26.607115889285442]}",Inaruwa,Inaruwa,इनरुवा,Municipality,inaruwamun,6,Sunsari,Inaruwa Municipality,2.0
5e8c4ea33e4d8a5ecdb0b149,20003,"[85.9544848990881, 27.18507259398, 86.204825869649, 27.3382553380441]","{'type': 'Point', 'coordinates': [86.0675968034201, 27.252220688887245]}",Golanjor,Golanjor,गोलन्जोर,Rural Municipality,golanjormun,20,Sindhuli,Golanjor Rural Municipality,
5e8c4ea33e4d8a5ecdb0b14a,50007,"[83.0685121738518, 27.4516319267707, 83.1836649646056, 27.603317946838]","{'type': 'Point', 'coordinates': [83.13083936798985, 27.509088270261394]}",Mayadevi,Mayadevi,मायादेवी,Rural Municipality,mayadevimunkapilvastu,38,Kapilbastu,Mayadevi Rural Municipality,
5e8c4ea33e4d8a5ecdb0b14b,50008,"[82.7313244296747, 27.5683664270419, 82.9354464584599, 27.7957859805142]","{'type': 'Point', 'coordinates': [82.8525062152889, 27.693678497007408]}",Shivaraj,Shivaraj,शिवराज,Municipality,shivrajmun,38,Kapilbastu,Shivaraj Municipality,6.0
5e8c4ea33e4d8a5ecdb0b14c,6011,"[86.9040286054561, 26.4883523143362, 87.0777393512, 26.6366192590647]","{'type': 'Point', 'coordinates': [87.0072000954264, 26.56714343172699]}",Koshi,Koshi,कोशी,Rural Municipality,koshimun,6,Sunsari,Koshi Rural Municipality,
5e8c4ea33e4d8a5ecdb0b14d,6012,"[87.1085931901024, 26.6350076844855, 87.2542990804555, 26.7501686564132]","{'type': 'Point', 'coordinates': [87.18064139435654, 26.68763432925855]}",Ramdhuni,Ramdhuni,रामधुनी,Municipality,ramdhunimun,6,Sunsari,Ramdhuni Municipality,125.0
5e8c4ea33e4d8a5ecdb0b14e,20006,"[85.5966171281509, 27.1431824917804, 85.8043634184124, 27.3536241604134]","{'type': 'Point', 'coordinates': [85.697326851862, 27.255397992808593]}",Marin,Marin,मरिण,Rural Municipality,marinmun,20,Sindhuli,Marin Rural Municipality,
5e8c4ea33e4d8a5ecdb0b14f,20007,"[86.1807597515219, 27.1088989908454, 86.3898626849262, 27.2611327532301]","{'type': 'Point', 'coordinates': [86.28613998527243, 27.186980967452516]}",Phikkal,Phikkal,फिक्कल,Rural Municipality,phikkalmun,20,Sindhuli,Phikkal Rural Municipality,
5e8c4ea33e4d8a5ecdb0b150,20008,"[85.7734942384301, 27.3097143980872, 85.9832003612649, 27.4510307886248]","{'type': 'Point', 'coordinates': [85.88149960861405, 27.379676087632102]}",Sunkoshi,Sunkoshi,सुनकोशी,Rural Municipality,sunkoshimunsindhuli,20,Sindhuli,Sunkoshi Rural Municipality,
5e8c4ea33e4d8a5ecdb0b151,23003,"[85.8299372315866, 27.8128831973301, 86.0650467984744, 28.0534534656021]","{'type': 'Point', 'coordinates': [85.93622448197604, 27.918085332007227]}",Bhotekoshi,Bhotekoshi,भोटेकोशी,Rural Municipality,bhotekoshimun,24,Sindhupalchok,Bhotekoshi Rural Municipality,
5e8c4ea33e4d8a5ecdb0b152,30001,"[84.6183184597268, 27.6687815164541, 84.9020627290959, 27.8253076541712]","{'type': 'Point', 'coordinates': [84.7664759045785, 27.756397930739553]}",Benighat Rorang,Benighat Rorang,बेनीघाट रोराङ्ग,Rural Municipality,benighatrorangmun,26,Dhading,Benighat Rorang Rural Municipality,
5e8c4ea33e4d8a5ecdb0b153,30002,"[85.1169330680887, 27.6696023081166, 85.2702420433839, 27.7765068593663]","{'type': 'Point', 'coordinates': [85.17982428298072, 27.729715266762902]}",Dhunibesi,Dhunibesi,धुनीबेंशी,Municipality,dhunibeshimun,26,Dhading,Dhunibesi Municipality,
5e8c4ea33e4d8a5ecdb0b154,30003,"[84.8225918714037, 27.6834893903306, 84.9891381373156, 27.8171097062989]","{'type': 'Point', 'coordinates': [84.9032110284607, 27.749569176437365]}",Gajuri,Gajuri,गजुरी,Rural Municipality,gajurimun,26,Dhading,Gajuri Rural Municipality,
5e8c4ea33e4d8a5ecdb0b155,30005,"[84.8224079235372, 28.0169418330056, 85.0107784579179, 28.1652025449906]","{'type': 'Point', 'coordinates': [84.92984285935881, 28.08644437839277]}",Gangajamuna,Gangajamuna,गङ्गाजमुना,Rural Municipality,gangajamunamun,26,Dhading,Gangajamuna Rural Municipality,
5e8c4ea33e4d8a5ecdb0b156,30006,"[84.7320102938523, 27.8573218994223, 84.8541736451429, 27.9814628027389]","{'type': 'Point', 'coordinates': [84.79193693728693, 27.923403459078898]}",Jwalamukhi,Jwalamukhi,ज्वालामूखी,Rural Municipality,jwalamukhimun,26,Dhading,Jwalamukhi Rural Municipality,
5e8c4ea33e4d8a5ecdb0b157,30008,"[84.9062218136467, 27.9466907781118, 85.0316902204286, 28.0311133147666]","{'type': 'Point', 'coordinates': [84.97160241247028, 27.986687650336115]}",Netrawati,Netrawati,नेत्रावती डबजोङ,Rural Municipality,netrawatidabjongmun,26,Dhading,Netrawati Rural Municipality,134.0
5e8c4ea33e4d8a5ecdb0b158,30009,"[84.8132142948197, 27.8414222664047, 85.0164385828599, 27.9969122597516]","{'type': 'Point', 'coordinates': [84.91955331595442, 27.918863100056626]}",Nilakantha,Nilakantha,नीलकण्ठ,Municipality,neelakanthamun,26,Dhading,Nilakantha Municipality,3.0
